facility_name,city,state,zip,phone,accepts_medicaid,accepts_medicare,accepts_private_insurance,accepts_self_pay_cash,state_financed_insurance,military_insurance,ihs_tribal_urban_funds,sliding_fee_scale,payment_assistance,affordability_tier
SpectraCare Health Systems — Henry County Clinic,Abbeville,AL,36310,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
SpectraCare Health Systems — Henry County Day Treatment,Abbeville,AL,36310,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
South Central Alabama MHC — Covington County Mental Health Center,Andalusia,AL,36420,334-222-2523,False,True,True,True,False,True,False,True,True,Free/No Cost
South Central Alabama MHC — Montezuma Complex,Andalusia,AL,36420,334-428-5050,False,True,True,True,False,True,False,True,True,Free/No Cost
RMC Anniston,Anniston,AL,36207,256-235-5121,False,True,True,True,True,True,False,False,False,Low Cost
RMC Health System — Regional Medical Center,Anniston,AL,36207,256-235-5121,False,True,True,True,True,True,False,False,False,Low Cost
SpectraCare Health Systems — Cottonwood Specialized Care,Ashford,AL,36312,334-691-8030,False,True,True,True,True,True,False,True,False,Low Cost
MHCNCA Inc — Athens Limestone Counseling Center,Athens,AL,35611,256-232-3661,False,True,True,True,True,False,False,False,False,Low Cost
Cherokee Etowah Dekalb CMHC — Etowah County Office,Attalla,AL,35954,256-492-7800,False,True,True,True,True,True,False,True,False,Low Cost
Birmingham VA Healthcare System — Bessemer VA Clinic,Bessemer,AL,35022,205-428-3495,False,True,True,False,False,True,False,False,False,Medium Cost
Medical West — An Affiliate of the UAB Health System,Bessemer,AL,35022,205-481-7000,False,True,True,True,True,False,False,False,False,Low Cost
Birmingham VA Healthcare System — Birmingham East VA East Clinic,Birmingham,AL,35210,205-957-5300,False,True,True,False,False,True,False,False,False,Medium Cost
Eastside CMHC — Jefferson County,Birmingham,AL,35235,205-836-7283,False,True,True,True,True,False,False,True,False,Low Cost
Gateway,Birmingham,AL,35205,205-510-2600,False,False,False,False,False,False,False,False,False,Unknown
Glenwood Inc — Main Campus,Birmingham,AL,35242,205-969-2880,False,True,True,True,True,True,False,True,False,Low Cost
Hill Crest Behavioral Health Services,Birmingham,AL,35212,205-833-9000,False,True,True,True,True,True,False,False,False,Low Cost
Princeton Baptist Medical Center,Birmingham,AL,35211,205-783-3650,False,True,True,True,True,True,False,False,False,Low Cost
Taproot Therapy Collective,Birmingham,AL,35216,205-999-9240,False,False,True,True,False,False,False,True,False,Low Cost
UAB Hospital — Center for Psychiatric Medicine,Birmingham,AL,35249,205-975-2710,False,True,True,True,True,True,False,False,False,Low Cost
West Alabama Mental Health Center,Butler,AL,36904,205-459-2612,False,True,True,True,True,True,False,True,True,Free/No Cost
Central Alabama Wellness,Calera,AL,35040,205-651-0077,False,True,True,True,False,False,False,True,False,Low Cost
Cherokee Etowah Dekalb CMHC — Cherokee County Office,Centre,AL,35960,256-492-7800,False,True,True,True,True,True,False,True,False,Low Cost
Cherokee Etowah Dekalb CMHC — White/Parker Home Specialized,Centre,AL,35960,256-492-7800,False,True,True,True,True,True,False,False,False,Low Cost
AltaPointe Health Systems Inc — Community Counseling/Washington Cnty,Chatom,AL,36518,251-277-9173,False,True,True,True,True,False,False,False,False,Low Cost
Birmingham VA Healthcare System — Childersburg VA Clinic,Childersburg,AL,35044,256-378-9026,False,True,True,False,False,True,False,False,False,Medium Cost
Central Alabama Wellness,Clanton,AL,35045,205-651-0077,False,True,True,True,False,False,False,True,False,Low Cost
WellStone Inc,Cullman,AL,35055,256-734-4688,False,True,True,True,False,True,False,True,False,Low Cost
East Pointe Hospital,Daphne,AL,36526,251-378-6500,False,True,True,True,True,True,False,False,False,Low Cost
MHCNCA Inc — Decatur Morgan Counseling Center,Decatur,AL,35603,256-260-1691,False,True,True,True,True,False,False,False,False,Low Cost
MHCNCA Inc — The Albany Clinic for Children,Decatur,AL,35601,256-260-7306,False,False,True,True,True,False,False,False,False,Low Cost
West Alabama Mental Health Center,Demopolis,AL,36732,334-289-2410,False,True,True,True,True,True,False,True,True,Free/No Cost
West Alabama Mental Health Center — Springhill Home,Demopolis,AL,36732,334-289-3270,False,True,True,True,True,True,False,True,True,Free/No Cost
Whitfield Regional Hospital IPF — Gerpsych/Adult Psych,Demopolis,AL,36732,334-289-4000 x2507,False,True,True,True,True,True,False,False,False,Low Cost
Central Alabama VA Healthcare System — Dothan Mental Health Clinic,Dothan,AL,36303,334-503-7819 x47801,False,False,True,True,False,True,False,False,False,Medium Cost
Laurel Oaks Behavioral Health Center,Dothan,AL,36301,334-794-7373 x237,False,False,True,True,True,True,False,False,False,Low Cost
Southeast Alabama Medical Center — Behavioral Medicine Center,Dothan,AL,36301,334-793-8111 x5482,False,True,True,True,True,True,False,False,False,Low Cost
SpectraCare Health Systems — Adult Outpatient Program,Dothan,AL,36302,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
SpectraCare Health Systems — Childrens Outpatient Services,Dothan,AL,36305,334-712-2720,False,False,True,True,True,True,False,True,True,Free/No Cost
SpectraCare Health Systems — Houston County Day Treatment,Dothan,AL,36303,800-951-4357,False,True,True,True,False,True,False,True,False,Low Cost
SpectraCare Health Systems — Intermediate Care Home,Dothan,AL,36301,334-793-4020,False,True,True,True,False,False,False,False,False,Medium Cost
SpectraCare Health Systems — Middleton RSC Home,Dothan,AL,36301,334-792-3202,False,True,True,True,True,False,False,False,False,Low Cost
