facility_id,facility_name,address,city,state,zip,phone,google_maps_url,combined_text
T00001,3 Rivers Mental Health,Regent Street,Missoula,MT,59801,4068303294,https://www.google.com/maps/place/3+Rivers+Mental+Health/data=!4m7!3m6!1s0x535dcdc0fd95ff33:0x625b5d32574e8c90!8m2!3d46.8556776!4d-114.0144386!16s%2Fg%2F1tj57fyf!19sChIJM_-V_cDNXVMRkIxOVzJdW2I?authuser=0&hl=zh-CN&rclk=1,3 rivers mental health regent street missoula mt 59801 4068303294 mental health behavioral health counseling therapy psychiatry psychology
T00002,7220 Counseling Coalition,East Grand Avenue,Laramie,WY,82072,7853413212,https://www.google.com/maps/place/7220+Counseling+Coalition/data=!4m7!3m6!1s0xe5429fd0a81cf67:0x8db33eacceb6b198!8m2!3d41.3083426!4d-105.5578743!16s%2Fg%2F11vb_q472d!19sChIJZ8-BCv0pVA4RmLG2zqw-s40?authuser=0&hl=zh-CN&rclk=1,7220 counseling coalition east grand avenue laramie wy 82072 7853413212 mental health behavioral health counseling therapy psychiatry psychology
T00003,A Beautiful Mind LLC,East 2nd Street,Casper,WY,82605,3073371173,https://www.google.com/maps/place/A+Beautiful+Mind+LLC/data=!4m7!3m6!1s0x8760bb72f8f7f353:0x19d2171df2e039a0!8m2!3d42.8492532!4d-106.3220199!16s%2Fg%2F11fk5yr68m!19sChIJU_P3-HK7YIcRoDng8h0X0hk?authuser=0&hl=zh-CN&rclk=1,a beautiful mind llc east 2nd street casper wy 82605 3073371173 mental health behavioral health counseling therapy psychiatry psychology
T00004,A Center for Mental Wellness,207 West Loockerman Street,Dover,DE,19904,3026741397,https://www.google.com/maps/place/A+Center+for+Mental+Wellness/data=!4m7!3m6!1s0x89c764aad9579f8b:0xa1ada17c6e63c07d!8m2!3d39.157907!4d-75.5266697!16s%2Fg%2F1w4vkx2s!19sChIJi59X2apkx4kRfcBjbnyhraE?authuser=0&hl=zh-CN&rclk=1,a center for mental wellness 207 west loockerman street dover de 19904 3026741397 mental health behavioral health counseling therapy psychiatry psychology
T00005,ABQ Behavioral Services,Candelaria Road Northeast,Albuquerque,NM,87191,5058847873,https://www.google.com/maps/place/ABQ+Behavioral+Services/data=!4m7!3m6!1s0x87227532422ffaf1:0xa1d3bf3b19f6de20!8m2!3d35.1160023!4d-106.5685735!16s%2Fg%2F11bwn7293d!19sChIJ8fovQjJ1IocRIN72GTu_06E?authuser=0&hl=zh-CN&rclk=1,abq behavioral services candelaria road northeast albuquerque nm 87191 5058847873 mental health behavioral health counseling therapy psychiatry psychology
T00006,AMC Psychiatry,Hackett Boulevard,City of Albany,NY,12208,5182625756,https://www.google.com/maps/place/AMC+Psychiatry/data=!4m7!3m6!1s0x89de0a696df27e93:0x3267cf1179de532e!8m2!3d42.6455853!4d-73.7800491!16s%2Fg%2F1td6bwmq!19sChIJk37ybWkK3okRLlPeeRHPZzI?authuser=0&hl=zh-CN&rclk=1,amc psychiatry hackett boulevard city of albany ny 12208 5182625756 mental health behavioral health counseling therapy psychiatry psychology
T00007,AMP Mental Health,2470 Southwest 22nd Street,Miami,FL,33145,3052049355,https://www.google.com/maps/place/AMP+Mental+Health/data=!4m7!3m6!1s0x88d9b7df063a8f85:0x4731edcb1992ccc!8m2!3d25.7501787!4d-80.2357442!16s%2Fg%2F11jcjw_78m!19sChIJhY86Bt-32YgRzCyZsdwecwQ?authuser=0&hl=zh-CN&rclk=1,amp mental health 2470 southwest 22nd street miami fl 33145 3052049355 mental health behavioral health counseling therapy psychiatry psychology
T00008,ANew Mental Health,8008 East Central Avenue,Wichita,KS,67206,3162603777,https://www.google.com/maps/place/ANew+Mental+Health/data=!4m7!3m6!1s0x87bae1fa412f1965:0xd0a45df583b4b688!8m2!3d37.6949044!4d-97.2431289!16s%2Fg%2F11mvh7ptwd!19sChIJZRkvQfrhuocRiLa0g_VdpNA?authuser=0&hl=zh-CN&rclk=1,anew mental health 8008 east central avenue wichita ks 67206 3162603777 mental health behavioral health counseling therapy psychiatry psychology
T00009,APG Healthcare,730 North Magnolia Avenue,Orlando,FL,32803,4074237149,https://www.google.com/maps/place/APG+Healthcare/data=!4m7!3m6!1s0x88e77af13eb77007:0x390159ad093293b!8m2!3d28.5545416!4d-81.377187!16s%2Fg%2F11cnnzzc5m!19sChIJB3C3PvF654gROymT0JoVkAM?authuser=0&hl=zh-CN&rclk=1,apg healthcare 730 north magnolia avenue orlando fl 32803 4074237149 mental health behavioral health counseling therapy psychiatry psychology
T00010,APOLLO Behavioral Health Hospital - Outpatient Services,601 Chevelle Court,Baton Rouge,LA,70806,2253030212,https://www.google.com/maps/place/APOLLO+Behavioral+Health+Hospital+-+Outpatient+Services/data=!4m7!3m6!1s0x8626a3c34849f0f3:0x15206633f03e3985!8m2!3d30.4456471!4d-91.0995855!16s%2Fg%2F1q6jzc5jv!19sChIJ8_BJSMOjJoYRhTk-8DNmIBU?authuser=0&hl=zh-CN&rclk=1,apollo behavioral health hospital - outpatient services 601 chevelle court baton rouge la 70806 2253030212 mental health behavioral health counseling therapy psychiatry psychology
