org,street,city,state,zip,affordable,score
, UNIVERSITY OF CONNECTICUT HEALTH CENTER 263 Farmington Ave Farmington,,CT,06032-,True,1
, DEPARTMENT OF COMMUNITY HEALTH GEORGIA 502 S 7th St Cordele,,GA,31015-1443,True,1
" ""FENWAY COMMUNITY HEALTH CENTER, INC.""",1340 Boylston Street Boston,"INC."" 1340 Boylston Street Boston",MA,02215-4302,True,1
" ""COMMUNITY HEALTHCARE NETWORK, INC.""",60 Madison Ave New York,"INC."" 60 Madison Ave New York",NY,10010-1600,True,1
" UNITED COMMUNITY HEALTH CENTER-MARIA AUXILIADORA INC ""1260 S Campbell Ave, Building 2"" Green",,Valley,AZ,85614-0502,True,1
, HOWARD BROWN HEALTH CENTER 4025 N Sheridan Rd Chicago,,IL,60613-,True,1
, COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI 1511 Christy Dr Jefferson City,,MO,65101-2854,True,1
, WELL CARE COMMUNITY HEALTH INC 203 E Main St Richmond,,IN,47374-4208,True,1
, FAMILY CHRISTIAN HEALTH CENTER 31 W 155th St Harvey,,IL,60426-3556,True,1
" ""OPEN CITIES HEALTH CENTER, INC.""",409 Dunlap St N Saint Paul,"INC."" 409 Dunlap St N Saint Paul",MN,55104-4201,True,1
, TRI-STATE COMMUNITY HEALTH CENTER 130 W High St Hancock,,MD,21750-1143,True,1
, FAMILY HEALTH CENTERS OF SAN DIEGO INC 823 Gateway Center Way San Diego,,CA,92102-4541,True,1
" COLORADO RURAL HEALTH CENTER ""6551 S Revere Pkwy, Ste 155""",,Centennial,CO,80111-6409,True,1
, STONY CREEK COMMUNITY HEALTH CENTER INC 12454 Hartley St Stony Creek,,VA,23882-3302,True,1
, LOS ANGELES CHRISTIAN HEALTH CENTERS 315 W 9th St STE 950 Los Angeles,,CA,90015-4213,True,1
, FIRST CHOICE COMMUNITY HEALTH CARE Centro Familiar Blvd SW Albuquerque,,NM,87105-4592,True,1
" ""Iberia Comprehensive Community Health Center, Inc.""",806 Jefferson Ter New Iberia,"Inc."" 806 Jefferson Ter New Iberia",LA,70560-5727,True,1
" ""LYNN COMMUNITY HEALTH, INC""",275 Union Street Lynn,"INC"" 275 Union Street Lynn",MA,01901-1314,True,1
" ""NORWALK COMMUNITY HEALTH CENTER, INC.""",120 Connecticut Ave Norwalk,"INC."" 120 Connecticut Ave Norwalk",CT,06854-1525,True,1
, BETTY JEAN KERR PEOPLE'S HEALTH CENTERS 5701 Delmar Blvd Saint Louis,,MO,63112-2617,True,1
, COMMUNITY HEALTH CENTERS INC 110 S Woodland St Winter Garden,,FL,34787-3546,True,1
, LAKE COUNTY HEALTH DEPARTMENT & COMMUNITY HEALTH CENTER 3010 Grand Ave Waukegan,,IL,60085-2399,True,1
, SUNSHINE COMMUNITY HEALTH CENTER INCORPORATED 34300 S Talkeetna Spur Talkeetna,,AK,99676-9709,True,1
, MASSACHUSETTS LEAGUE OF COMMUNITY HEALTH CENTERS INC 40 Court St FL 10 Boston,,MA,02108-2212,True,1
, INTERNATIONAL COMMUNITY HEALTH SERVICES 720 8th Ave S Seattle,,WA,98104-3032,True,1
