id,org,street,city,state,zip,context
,,,,,,1770586703	1212 Clinic Dr		Tyler	TX	757012117	US	9035968858	109	9035359138
,,,,,,1821091059	24 Antrim Commons Dr	OP Greencastle Health Center Outpatient	Greencastle	PA	172251623	US	7177653403
,,,,,,1316940109	1001 Hart Blvd Ste 100	Monticello Clinic	Monticello	MN	553628929	US	7632952921		7632713807
,,,,,,1508869579	1098 W Baltimore Pike	Suite 3308 Riddle Health Center 3	Media	PA	190635139	US	6105658564		6105653046
,,,,,,1154325959	200 Clinic Dr Fl 6		Madisonville	KY	424311661	US	8124777246		8124777240
,,,,,,1144225293	88 Clinic Rd		Tate	GA	301772588	US	4049966596
,,,,,,"1376548867	""NBHC Groton, TBI Clinic""	""1 Wahoo Ave, Bldg 449""	Groton	CT	63495600	US	8606941028"
,,1174529994	Navajo Route 4	Pinon Health Center	Pinon,,AZ,86510,1174529994	Navajo Route 4	Pinon Health Center	Pinon	AZ	86510	US	9287253220	69637	9287253613
,,,,,,1811994957	150 Sargent Drive	Cornell Scott-Hill Health Center at Sargent Drive	New Haven	CT	65116100	US	2035033000		2035033224
,,,,,,1427055433	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,,,,,,1770580722	811 Fairview Ave	Fairview Community Health Center	Bowling Green	KY	421014969	US	2707833573
,,1396742185	330 E. Laurel St.	Centennial High School Health Center	Fort Collins,,CO,80526,1396742185	330 E. Laurel St.	Centennial High School Health Center	Fort Collins	CO	80526	US	9704884940		9704884942
,,1902804552	24 Antrim Commons Drive	OP Greencastle Health Center	Greencastle,,PA,17225,1902804552	24 Antrim Commons Drive	OP Greencastle Health Center	Greencastle	PA	17225	US	7175930513
,,,,,,1851399455	3601 The Vanderbilt Clinic		Nashville	TN	372322358	US	6159362000
,,,,,,1295733475	1000 Health Center Dr Ste 204		Mattoon	IL	619389261	US	2172584155		2172584138
,,1558369322	Fairview Rosemount Clinic		15075 Cimarrone Ave,,MN,55068,1558369322	Fairview Rosemount Clinic		15075 Cimarrone Ave	MN	55068	US	6513228800
,,,,,,1962402560	3601 The Vanderbilt Clinic		Nashville	TN	372325000	US	6153223000
,,,,,,1295735611	543 Taylor Ave	Columbus VA Outpatient Clinic	Columbus	OH	432031278	US	6142575642		6142575288
,,1083615587	368 West Main Street	Ephrata Community Hospital WellSpan Health Center in Le	Leola,,PA,17540,1083615587	368 West Main Street	Ephrata Community Hospital WellSpan Health Center in Le	Leola	PA	17540	US	7176566122
,,,,,,1437151024	2 Health Center Dr		Athens	OH	457012907	US	7405927100
,,,,,,1356343982	2 Health Center Dr		Athens	OH	457012907	US	7405927100
,,,,,,1245232602	2950 Cleveland Clinic Blvd		Weston	FL	333313625	US	8663204573
,,,,,,1831181650	6900 Georgia Ave NW	Nephrology Clinic	Washington	DC	203070003	US	2027826462
,,,,,,1992797625	1000 Health Center Dr		Mattoon	IL	619389261	US	2172582551		2172582256
,,,,,,1508858929	752 N High Point Rd	Dean Clinic	Madison	WI	537172236	US	6088244000		6088244910
,,,,,,1508858929	752 N High Point Rd	Dean Clinic	Madison	WI	537172236	US	6088244000		6088244910
,,,,,,1225021900	13 Area Branch Clinic		Camp Pendleton	CA	920555221	US	7607250459
,,,,,,1063406437	6655 S Yale Ave	Laureate Psychiatric Clinic and Hospital	Tulsa	OK	741363326	US	9184913762		9184915740
,,,,,,1346234754	1007 Health Center Dr		Mattoon	IL	619384693	US	2172587400		2172587401
